adm3_en,adm2_en,num_map_tank,num_tank,asc_map_dad,asc_dad,asc_func,asc_damaged,asc_nonfunc,asc_pop,asc_fam,asc_pop_func,asc_pop_damaged,asc_pop_nonfunc,asc_fam_func,asc_fam_damaged,asc_cas,asc_tank_irri,asc_tank_agri,asc_tank_agri_day,asc_tank_agri_com,asc_tank_agri_day_com,asc_reno,asc_breached,asc_needreno,asc_good,asc_bundreha,asc_sluice,asc_sluice2,asc_spill,asc_spill2,asc_length1,asc_length2,asc_length3,asc_length4,asc_length5
Rasnayakapura,Kurunegala,222,180,97.315559,96.69445,40.111111,0.077160493,59.888889,16920,5446,42.420605,0.040878642,57.579395,44.179829,0.018872159,38.027779,0.17592594,0.25925928,0.22222224,0.009259259,0.02777778,5.188272,1.1141975,49.780865,5.188272,0,40.111111,1.2345679,35.336418,0.027777778,0.14454454,0.06509009,0.13335836,0.011036037,2.5025E-05
Rideegama,Kurunegala,39,34,100,100,77.854668,0.34602076,22.145332,5775,1515,76.592819,0.37280366,23.407185,78.159576,0.15142691,0.77854669,1.2975779,1.6435986,0.77854669,0.34602076,0,12.456747,0.80213904,32.17469,10.784313,0,88.581314,0.77854669,72.75087,0,0.14781298,0.048265461,0.10859729,0.018853696,0
Udubaddawa,Kurunegala,33,30,100,100,64,0.11111111,36,3700,929,64.691895,0.17837837,35.308105,55.715828,0.35522068,0,2.1111112,2.3333333,0.33333331,0.33333331,0.11111111,16.551723,0.13888888,34.133331,28.444445,0,87.111115,1,69.444443,0,0.22727273,0.049494948,0.10101011,0,0.001010101
Wariyapola,Kurunegala,443,353,100,100,54.667801,0.20544262,45.332199,24820,7581,52.271736,0.20307118,47.728264,52.549294,0.23018631,11.364347,0.097103745,0.11636399,0.095498718,0.003210041,0.049755637,13.399184,0.39409834,30.998343,21.843748,0,54.249691,0.13562423,46.998215,0.007222592,0.15762347,0.092083976,0.11142161,0.005013461,0.00023021
Weerabugedara,Kurunegala,35,31,100,100,75.858475,0.10405827,24.141521,4428,1393,74.744301,0.042253111,25.255701,73.403885,0.023157259,0,1.4568158,1.6649324,1.0405828,0,0,8.4287205,0.10752688,33.714882,13.010753,0,37.565037,0.10405827,33.714882,0,0.40645161,0.033179723,0.045161288,0.000921659,0
Madhu,Mannar,211,145,0.44024169,0.80380499,10.064209,33.560047,89.935791,1950,3015,23.898851,7.1596818,76.101151,14.32058,22.442272,1.5410227,0.19500595,0.28061831,0.18549347,0.014268728,0.099881098,4.5707493,7.9952435,36,4.5707493,0,2.0975029,0.57550538,1.2175981,0.042806182,0.30122569,3.26851E-05,0.002647491,0.17417878,0.033469521
Mannar Town,Mannar,65,34,93.940834,94.204155,12.456747,12.456747,87.543251,33307,10262,11.55348,7.6804199,88.446518,10.207849,7.1950197,0,0,0.60553634,1.1245675,0.08650519,0.43252593,2.1626296,8.6505184,83.131485,3.1141868,0,3.1141868,0.77854669,2.1626296,0.77854669,1.4701358,0,0,0.011312217,0.004072398
Manthai West,Mannar,256,216,31.202698,28.840879,6.0206618,31.380745,93.97934,4190,2971,12.063555,25.348713,87.936447,15.427528,17.271276,0.034293551,0.047153633,0.21219136,0.105024,0.002143347,0.023576817,4.9382715,5.1461763,39.643349,0.94521606,0,3.7808642,0.1371742,1.2345679,0.034293551,0.592466,0.000651042,0.002188223,0.007233796,0.026114004
Musali,Mannar,98,38,55.487301,58.240997,22.437672,15.581717,77.562325,2298,1144,21.952726,19.066923,78.047272,25.506073,14.078028,0.069252074,0.3462604,0.41551247,0.6925208,0.41551247,0.90027702,8.3795013,39.889194,75.415512,0.62326866,0,15.581717,2.4930747,6.9252081,0.069252074,1.278464,0.000268528,0.038668096,0.006713212,0.032491945
Nanaddan,Mannar,101,28,90.344086,73.469391,4.5918369,51.020409,95.408165,403,845,14.090747,20.91457,85.909256,3.4234996,55.790363,0.51020408,1.5306122,2.1683674,0.6377551,0.12755102,0.38265306,1.1479592,15.433673,46.045918,0.51020408,0,3.1887755,1.1479592,1.1479592,0.51020408,2.2630835,0,0.005657709,0.005657709,0.059759546
Dambulla,Matale,168,143,71.442749,76.409607,57.039463,0.12225537,42.960537,16101,6221,65.256599,0.070577212,34.743401,66.29789,0.033160858,8.2204514,0.28852266,0.31786397,0.15648687,0.078243434,0.078243434,6.6947041,1.251895,48.902145,3.0563841,0,70.41909,9.4674549,73.984055,0.17604773,0.12591575,0.004162504,0.16000666,0.035006661,0.005994006
Galewela,Matale,111,101,94.667641,96.078812,90.344086,0.009802961,9.6559143,21255,4034,93.851044,0.007686019,6.1489549,93.517967,0.009817542,20.743065,0.71561611,0.85285759,0.10783257,0.009802961,0,14.910303,0.62738949,56.621902,3.9211843,0,74.198608,18.978533,82.97226,0.35290658,0.051378112,0.012844528,0.19703862,0.055748817,0.000802783
Laggala,Matale,30,23,5.4444447,9.2627602,100,0,0,533,385,100,0,0,100,0,6.8052931,3.2136104,3.4026465,0.94517958,0,0,4.7258978,1.7013233,27.221172,9.2627602,0,83.364838,9.2627602,83.364838,0,0.70144928,0.001449275,0.071014486,0,0
Naula,Matale,25,20,57.759998,72.25,81,1,19,4349,1270,68.374344,2.4028513,31.62566,68.031494,2.4409449,6.25,2.25,3,0.5,1,0.25,9,9,56.25,4,0,90.25,1,90.25,1,0.162,0.050000001,0.2,0.002,0
Pallepola,Matale,3,0,100,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Rattota,Matale,1,0,100,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
